k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Edwardsiella; s__	4441228	367809	324225	788593	361605
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__bifidum	365385	469852
k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__	3415982	926665	2475359	424151	4344343	4300012	4297538	2966489	985017	2028258	852654	908515	900763	1080424	3284299	4312636	4319914	419128	511455	4416763	4390407	4390403	4331127	1010897	932288	946008	4347865	4398110	864465	960145	3264735	368383	4298611	4335736	1037280	919016	724120	1064737	4453222	1002337	1046015	517987	398609	4297400	4297403	4474756	4370184	4313711	4469531	4469536	953863	2954992	1098795	992416	1023354	4315666	1002298	4328036	907358	872446	1030575	1004451	2802441	866387	4337710	546051	2054256	574487	4437916	107398	1012890	1058346	4381055	4372059	852440	937207	587665	898674	895186	910353	4342811	865458	972033	523025	1095579	4483478	859700	1083194	4383878	4445466	4314144	661259	465867	1061595	1087406	218826	1056581	86998	4431663	976779	880804	35624	143190	4396059	4425214	4425212	358366	529731	395102	981039	1070695	4358110	4302588	881141	4386192	4314454	87477	964134	999999	15366	984650	867024	1027025	986708	4426835	527756	4450428	669486	4426036	588717	930706	999368	465140	4295788	280965	428631	930134	4468700	1047760	1025207	916224	4301208	854679	954336	1098340	1045612	992682	1000647	287371	1096637	921101	858652	4373856	4323969	885560	934679	426772	147566	1020846	3227737	4342474	860578	4310940	1074462	4424353	4403730	911990	1025090	4317267	381424	4314621	941048	296636	856364	4396238	935146	355236	498716	991897	982726	451731	4301070	982442	1065249	912531	526131	100445	1018447	1018444	969707	1142554	675673	25259	921441	1025789	3414078	947477	2260620	290494	1076777	4439603	880046	923468	270572	926832	4451173	148666	4477082	2424578	4323060	4312626	4348789	938144	1911498	1055760	4321191	1056371	953715	1065399	4326787	906063	4434674	537894	2006240	911235	911236	1024422	970828	4333228	516966	2549269	966290	996198	221080	4346722	1062670	883981	4453665	4433307	289708	3060176	1010458	2780371	1079708	548017	925556	1073711	289925	4337090	1039306	223427	4436161	4436163	4436165	4436166	4334751	4297406	4450468	287813	4319793	893834	309445	4299324	941438	569797	4369035	4399328	47988	4421253	4421252	4421250	967784	4366889	1011827	4301016	928424	2596104	1035454	1076557	4322102	1057875	4315974	4309764	4309762	92535	857492	4428042	1040276	461851	2235029	1054176	4364691	296538	296535	1079044	4297059	4357103	4302066	920252	283052	15432	15430	15431	15439	4483954	927066	894672	1043210	365482	154461	875364	4301301	4464348	981136	860755	942708	4317042	769966	980185	172359	1025100	1044395	4136473	245916	4314446	4324944	1087736	416231	965608	853821	1068560	4484047	985531	4316341	990153	809122	1044107	4304147	4239831	896640	4312947	1085777	521996	4369988	859311	573450	4374126	4313934	4313935	992332	3660004	915069	1023716	451459	966611	965141	3959894	4322939	391082	4303016	4428411	4361776	4179834	4406162	974431	916510	863014	4401359	998758	2156677	4346977	151451	3851395	1004922	2654183	4473909	4441854	4417498	942793	4346332	4412764	3286176	898315	954277	1022930	1048354	520823	1017919	921029	515853	1056058	522718	4373995	990370	536866	4466888	944954	917738	991313	927457	1003482	1140223	4299756	4337512	914329	1029654	965929	4474111	301270	4193318	4346985	4467992	154868	4364692	4309550	953221	197273	1065047	295876	854116	286668	1042800	1059224	955515	886612	1716539	972940	3875757	873591	962933	3678349	511475	977668	4470733	934733	4312795	3538006	1008614	890987	1009174	4453432	4448940	1065445	932632	4326672	1049186	887285	4397806	288054	730315	968954	4320701	1059351	4455209	997116	4447401	883883	973190	4317835	968629	899506	4459747	4306977	1034254	4425916	4418220	985998	985999	4319955	402529	892465	1085033	884323	525273	149436	4455123	4455124	4455128	863124	4420047	4378060	4439457	898652	939864	967005	4309776	4309770	4410904	218317	1048628	4426597	4290143	509634	1935279	4453582	855380	943523	973688	1041024	940876	3979310	870034	4307363	243231	4471018	316765	4301291	1034874	1598787	4406345	4421392	4211768	951739	1952427	1021119	4300449	4297160	4297161	1059123	1008943	970648	952694	358343	385190	2410938	3230736	868817	879972	4440757	2062229	4307760	4475824	1113030	4428089	4427360	950382	930764	4318221	462471	960519	1052260	1098762	970455	786535	1091388	4366464	971607	4306047	4374130	1730757	1059747	4395342	933303	4320420	325667	4372210	403611	367341	153843	153847	4304668	1019609	4379008	4436542	4330322	4330326	4424239	4295514	1089650	525295	4302259	1075353	4385140	4424379	295590	1065595	1085132	864131	1104270	1053507	109958	988672	299659	4382643	853230	855692	4467047	4467043	899062	4323548	4441855	526503	4315288	4430300	997728	1096105	995373	4375125	519493	4371827	1063339	884897	869946	2959075	4304884	523887	4272982	4388400	545996	4475402	1124305	1024613	4396508	883130	584109	894045	2146268	4297566	4297564	4446927	4346670	3997006	872357	4345845	1049256	1039260	1060582	4450161	923098	1022829	4344400	1050813	974209	4470729	349024	4304976	1085319	946034	861912	4319522	4358281	358397	964750	4483201	72003	994088	1041536	4448456	4448457	2044527	938298	136603	1140756	4366060	4366061	949396	1025909	4297346	282342	926929	4447415	1078207	1060104	995194	995197	1069880	1869800	155061	4332093	288417	1082009	1047879	428159	15564	975240	614264	858700	3122374	894272	927132	703467	1009760	528842	4317644	4317647	1051299	4411142	4320158	244656	1043631	886418	1058604	851903	261211	997399	4466108	1054093	4442130	516814	4314551	4314554	871257	1087005	1032837	3804669	4314453	4442183	918531	4296426	828043	4307371	225348	4337142	1085878	1082135	4302049	876353	152938	4458476	912296	1054876	1045695	110295	302456	1058496	1046408	4396062	959096	4418176	932803	2191123	4346334	2430382	4390642	868803	4200914	898499	975825	883387	4312332	4312339	365775	1057002	937805	388019	3500811	3500812	4332921	1047650	931425	255957	899392	4384044	4340651	873814	999034	4302587	4302582	4415177	388520	4462805	967427	1044939	4407432	897966	878050	3166216	962320	1041989	370489	4368913	4453581	310528	4372206	1024530	4071003	923993	905432	2208658	1068697	4439886	4439884	4375065	4375067	4449286	914687	1092923	1006401	4366853	4318747	4303294	1126851	4353297	4353293	4376963	942475	4419788	1696859	1696855	4325275	4325272	110876	1103769	4479373	912135	874417	941096	4467881	994888	4427838	4358515	931912	4315405	4317950	929552	55901	923540	4311279	928094	933026	1077229	455767	1080673	945553	997711	4315157	1036531	508805	886709	886705	525410	916364	4312704	640392	3217643	4429674	1076867	1055649	940354	4471019	4424886	938388	977125	1032445	4377730	4377736	878335	1915516	981894	929153	1036375	4396519	662636	1075400	295020	1063665	932486	4320611	1058195	965500	4316776	1008436	144361	929588	627071	4322742	1007430	150997	885224	520624	974230	4338861	1076244	1076241	1065503	4417991	4350364	958405	960184	577209	945923	519951	4374598	1015772	1012146	1095050	983322	1950975	1044744	900900	1088494	973637	4392549	4332717	4305815	1080451	1082191	898915	3661873	4480831	15571	15570	925031	4325635	4325636	4317758	100871	17851	898770	867680	982975	4461380	298988	219747	298862	980280	300658	964799	893792	855209	4321136	4321138	4297223	873657	1056780	940857	4424074	28885	4475978	4475975	151742	1057302	4415097	1093257	32537	282822	573754	966828	966820	4331497	2358923	15357	4391087	1026944	184376	1019846	949787	1045687	4406369	899176	995565	4309107	4455038	948336	1059655	4295219	1592315	1060854	2163247	1109395	4320312	4320317	4320318	4436561	590997	1096706	4295580	4471688	990103	4306189	881851	881857	4347295	4328251	639429	4434658	1056735	1089945	916997	1012835	269509	4371881	557978	997595	1079221	866519	966646	864356	949703	4462631	1061036	92981	4313505	4313509	4305152	4318751	2458759	4447992	1036260	1130892	989441	981636	960232	4306048	1046527	4325268	104405	1035753	1074284	3407515	4297222	731177	883742	1053883	1000188	867732	1102925	4434918	4434917	4312886	1039280	914578	3239658	1051669	1063259	1019751	949816	1085410	4308962	564914	2849587	2819725	1074446	4427361	1010284	4463205	422165	898172	1002154	1100538	4294913	1015696	996778	506496	756256	957062	940547	4346614	920997	934418	961510	4455327	308041	145009	4365756	4216654	4472004	1001488	889143	961914	528357	993705	4309301	1048420	976171	523256	520082	725124	4426838	2255936	4319549	1053113	932370	630740	591583	4399761	4391908	265267	976853	983335	4432042	4108335	1049171	1071370	2466240	982306	567960	1010598	865738	993267	947524	4455250	4329215	4303302	515462	4318391	4318390	1012230	1019178	4403470	859355	4405907	4440283	4300356	912816	1067728	877500	976796	15546	15547	15540	54794	959009	894255	1087830	4454555	4454552	720955	131778	4322712	297525	4320179	1045429	1083383	4353941	910320	4452749	561636	538185	973736	155639	1048610	517688	902323	1082294	4374134	4437024	4374133	1041079	920390	4380190	911808	2807193	4384643	4313694	4298938	957974	851934	15368	15367	358274	513500	984068	4343924	590801	4325935	3170391	952840	1040592	4307651	4307655	1041241	864286	4372313	987303	4441479	4441478	902806	457666	1059824	924064	4315820	2570978	726202	4401260	3855116	1051520	2007981	4307389	27308	292820	152330	368887	532232	531522	1095981	4465544	901612	4395661	954342	4313971	913687	4452968	897799	1049574	951541	1017827	986542	4374270	4463579	2780070	897007	4388538	4390646	919293	145393	3823295	1005952	4318724	4444570	930592	881932	4383463	1017077	2666889	2666883	1075288	1075283	4344213	1013357	1025168	979029	4295513	4298607	4347663	4296391	4309729	286795	1002150	1087301	876802	2672059	4365779	4332287	525221	989315	379791	557023	529509	138644	328283	867962	1017625	906006	247562	890460	301574	929801	4298442	861818	4449114	20126	4377711	878318	855123	4324837	1045279	199646	563263	1078498	4322764	215328	868063	290759	992830	1099830	1066378	953518	681446	861685	4336418	4380207	316587	4313088	1746900	531162	981830	4345621	4345623	1041488	654662	1045489	4436975	4397962	868489	261156	874528	978596	929713	4322580	514262	4472685	990895	4317939	1055931	518465	997156	1119907	1084905	877404	3449122	4328726	4461959	151180	955886	860064	4078335	921285	4440528	1061897	142633	959010	959017	989533	4454548	4433192	920226	4310366	910272	4296182	980122	2901965	919182	393069	1004355	4300698	1071570	4338233	1047574	868962	1082539	158725	4408458	4408457	1067960	881286	887706	4322584	4322581	4322588	579608	4313705	1079866	890000	1078736	1012881	4471055	4366360	845785	994939	4386184	15378	152410	364784	905835	4307484	4340206	4317789	4317788	972227	1036477	661869	4433146	4433142	4433148	4315069	1868351	998985	4398107	911515	856259	4307648	274810	524022	797560	3444723	237444	302880	924131	964908	911496	3514389	984634	979705	979703	1040423	4462766	4303132	898421	986767	922805	4299059	4438917	4438915	974513	4365556	155981	936190	1025556	4315588	142619	255359	4350748	977956	880208	4455633	4346484	4417238	4475278	4475274	4427044	4295453	4295456	4295457	67823	1034052	923946	1062280	4305071	517754	971557	1073462	1052830	934669	1039405	4455875	1013732	867821	1962024	4428355	4433923	1000743	817176	4310771	4306177	916843	154802	225015	4403003	4458971	156423	882063	923434	949045	955003	987106	1076222	933156	306582	1018892	1003943	4268571	4483613	4483618	4468897	4434930	4434931	872227	984203	4365744	4481130	4334414	1052540	4402254	4454492	3269889	955864	943898	4330071	4455887	4321386	1046054	4327777	895656	1003575	4450298	922095	4259390	4311418	352409	4320762	909513	1059596	4295534	892910	969153	239871	191458	4342770	4313084	872294	908275	1009060	272150	1047944	4425832	4313095	4313091	955997	672166	4306417	933877	936515	4462082	4462080	992057	888944	837852	855199	1048166	4318865	4318869	1764715	1061488	997145	4483977	567427	1075598	960486	15441	15440	2749874	151627	893420	4458044	3089522	1014542	1979093	934925	4440532	1022608	1023950	907189	110438	4429000	1015609	4394632	2973837	966498	4322647	1067949	4416266	959582	4310375	1069543	980158	4438913	860426	4380773	265868	934028	29146	657097	1094800	3337356	994702	4435836	516611	2924689	4297968	893335	3317374	1141646	4366317	4416281	59566	1021043	1021042	966814	919706	1012979	867155	4424451	1032751	4435066	1067660	4348350	4344467	4306836	1077714	885093	328458	986450	968835	1030188	924121	4303140	895813	894969	303652	1007087	864129	4365561	1077897	1037805	1021808	1047515	4366572	931987	156566	4316129	4414899	928027	3290660	525966	983600	862571	4380590	4483687	2571976	878098	1053432	909703	4449360	948315	4430123	1026550	996575	4314737	15387	4373680	4373689	861123	968335	152615	4184543	1062727	3498340	4325420	867833	525128	969376	4024319	4301209	4479989	980514	989493	916838	1018721	1024237	4479601	999490	999494	931950	294245	1888465	4407586	853573	522025	935640	4434929	4358663	4300424	1040009	903341	4423802	4423803	4423804	1007546	972290	4356596	934614	1000547	4463378	4318630	4328976	1021368	1018482	910500	956204	4453391	2856238	4444797	4321400	851820	4477356	301661	4352708	1088258	4330716	4463772	4455767	4301566	4278065	4338828	932208	98605	511795	3538516	526804	794624	967828	1002742	975303	1000872	4424817	1031833	686418	4438639	4313224	4392588	4434511	577280	1959116	896027	396642	948522	965805	1658686	4397498	907010	1024384	529233	4384432	518304	1060823	1021262	2953981	4383049	4306479	1044357	888300	437591	4438749	327851	1069697	867426	948776	4320228	3384042	3384047	874327	2458919	872163	4450479	993879	1054991	4354032	870724	152823	4299973	900585	1037152	985730	291195	738871	917999	925751	4374265	299151	4367363	580263	47073	499109	1019804	1024060	376486	1023753	2026147	4300425	4456236	934700	961822	4311553	273435	1085918	4303153	4429200	917521	998265	873781	996854	883576	916103	1065667	989579	1045103	513646	2416354	4316132	4344503	4404925	3093663	4454962	905578	978607	4469671	1077725	951599	67808	4298224	1051230	4461601	4302370	999130	15483	4365177	4365176	1076969	1014261	4318718	4318710	1020572	4455991	1074375	593803	4309515	927681	450712	4316797	4358565	4358566	2086000	826675	1080684	994219	990240	1038511	4345995	4409231	1069999	134410	1005834	867936	4433837	4318625	149581	736957	902545	907991	4334830	3521995	4450964	969961	1641306	1075556	965953	1001487	4431437	219235	1002338	1007926	915421	1059312	1023357	1092300	922359	875313	1084989	942989	4396815	1029545	4442490	957515	968101	959701	4300042	4438166	4342758	907133	516156	868337	2360746	4317631	4298702	4298705	27019	4425522	1069349	1069346	3244896	999060	900286	509773	4352210	364479	4303741	4353873	4313231	4313233	4472677	4472676	4472679	1066119	867287	582095	624246	2210962	1000186	4350582	583482	924739	908873	928508	4452333	4460916	932853	4347036	4336578	277381	4352503	4326550	1004369	1006985	2894506	997330	1000269	2652279	1005347	1054039	4321180	935842	862382	4362739	1035790	4024522	984572	1057882	858047	4391370	4329430	4306046	1057372	3322919	4296979	4314738	895228	4461382	3008048	1088046	4394542	4421474	149109	4353798	1146865	4311130	4381944	899952	4320463	911271	948369	1036674	167759	1092453	952805	643127	4431922	961851	1026448	4344833	1020861	170085	976088	4302212	939732	1026767	4324091	985623	4305488	4455938	802262	4394379	2841999	4366859	916111	4386877	552750	1088134	982399	155857	301093	4365936	4365938	1076122	1003237	1081977	935046	857708	853982	2662129	756189	520236	1858114	1068499	2382271	1093631	4450989	70803	4419889	4305456	1008114	517963	4319399	241368	894007	4318627	942927	1045341	965573	3982530	4307378	4322713	4406984	994203	4331904	939112	288249	1066285	913977	989205	896944	960153	1073276	454998	853014	4326311	1098664	997471	297275	1049612	545277	4309341	984464	851842	3145853	905839	4384931	974150	986841	1101702	870329	994950	1087686	894780	964484	1008698	4317606	4298772	1037380	4345662	238994	1046138	4315958	3698712	1000816	523039	244710	254347	591411	2024840	361212	994428	1896090	142203	1085832	883744	876310	4460530	4458077	1138382	1090602	1016544	726438	40363	1044726	960774	992663	894496	223798	2855169	1023988	4422779	979385	4428998	1104127	4314999	4311010	1114953	3723096	964755	523723	911422	1000273	919898	4338456	151487	288633	1025881	4438988	4302135	4447398	4317588	906169	1069032	3358208	4301210	4301211	971651	4359423	1033473	937015	1022051	1139272	4475759	3869334	3227227	1059776	529571	248785	4338486	4331052	4309300	4310500	533765	1079559	4452867	359502	510459	582722	936399	3305113	869726	4371765	890546	4322858	4462083	871442	4419059	4400028	4433838	4428412	4467195	898884	1080874	585008	939688	4359911	4359914	1825510	302633	942772	4366546	526579	937163	4312910	878129	294452	935057	4435327	1997391	965844	1025707	965357	3323740	910828	4326406	891035	1051252	4321884	588046	568209	1060324	991729	1083032	1015154	960031	4373576
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__eggerthii	196781	4418224	192111	316761	344525	2865887	322715	4414420	333904	312770	839512	308116	185242	185730	314355	328028	198042	3078863	347453	304076
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__	4368673	4404572	4127493	522011	4419195	4369272	3970651	514363	521134	4441084	512731	357274	521001	848576	851323	1729249	3162420	532470	4382759	518050	157681	195123	4104530	522838	4426873	3404369	807034	1006837	2047910	529498	4329571	2016294	4368575	517496	4480787	524088	522582	1726408	514875	2478673	157664	4396966	511472	4368000	3168538	1924822	847228	4442459	35721	231287	2058521	4372003	3292247	529102	519082	4459652	3604198	306330	4481444	104141	3009852	362763	918187	842817	31170	232970	2392960	517297	1109511	921813	530781	515673	4308591	3970657	3970656	735609	4348872	4395334	518962	4449803	4003061	512586	4318495	3451812	342873	520075	741298	529335	1627466	531329	1764554	335447	528960	4352811	528653	343433	661933	180082	4359027	1800048	532341	846127	230553	689975	180731	518538	256323	198866	4469737	468295	4355680	251987	843434	3879347	3449121	357901	3684645	3684649	4392496	304539	4477019	523559	527531	533579	513359	4328425	516401	3064113	150494	306160	357712	529515	3349138	1952	4350566	522087	542404	314406	2511079	848050	1109552	4366824	276149	244367	523418	518789	4327412	4319947	3349141	157481	290566	514786	158207	514079	4320036	287720	28974	293797	513985	4412111	4335624	2006719	3349140	196219	4356537	2265671	3757799	510205	536030	191251	531790	592097	314915	190262	4374912	4212176	520964	531491	531353	526025	523933	114697	267856	4418496	4338976	3755853	564989	511128	520864
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Proteus; s__	4382366	166692	4316741	614890	204864	4099196	4339194	4339195	4339197	4339193	4212180	4347655	10205	288234	1134136	4480511	4480512	892778	470879	837228	4321292	4368724	768553	76558	1746913	3610692	4099203	4099201	156753	685373	4360360	814112	4399787	4427273	3610691	3610694	3610695	4385479	4385472	4385473	3440955	3021149	560629	4379477	4338907	4480565	3610686	3610688	3195991	75554	4440497	202829	1127578	4402484
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; s__faecis	3142482	523144	186077	4355728	3387754	179885	107098	4347709	338177	2117122	529965	3905578	145765	362210	517938	311205	1921380	194588	188634	195105	26201	185192	509017	4370393	2184002	194550	4365053	847511	166670	4339831	176641	525800	363026	181390	519943	362846	177520	4380191	3073467	843617	510777	261837	48918	364142	4360486	1624481	363685	351105	362947	4333509	2532173	4347568	543118	3449940	317350	4330715	567381	3752808	361274	520892	179802	109017	314893	358309	4404392	370002	847491	554555	368395	315650	523728	4392188
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; s__formicigenerans	175647	116123	176722	365459	4428022	275687	70405	178873	4393739	4401634	4232048	2842308	188249	185863	3769614	175159	198138	531566	4457603	524258	359355	186752	173945	351854	4424063	3779973	2199489	3094251	361166	4430704	3220518	2157494	1076587	309236	179665	261912	592412	4325013	360962	187707	197248	4015729	186652	199735	367457	179437	530953
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__torques	4127464	585983	360703	175474	3036640	590251	120639	2506490	2266622	188401	1793626	2467145	1764173	369005	361222	175117	3366133	216096	4417947	367327	3989845	263523	2836658	4153080	362461	4396136	122429	364792	3731030	588205	4369432	4458587	551202	547807	4250403	583398	2682598	358945	4399744	851757	564762	4361723	4340036	2305624	1721299	2027365	4481629	4351523	1867213	1867217	148987	542986	3084281	4345255	4225003	370361	4364464	361540	550701	4342102	4440441	845454	4381338	4390966	367266
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Ruminococcus; s__lactaris	348006
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Holdemania; s__	198937	15728	367215	198914	4429034
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Subdoligranulum; s__variabile	471106
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__breve	4199309	484303	133436	4396138	742595	82861	132714	28109	809682
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; s__inulinivorans	1124170	208944
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__coprophilus	2730944	522595	4443171	157905	514209	157712	514139	525360	522813	851885	158822	527577	518281	524522	526690	511560	531346	529842
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__caccae	4409351	342294	4479977	4413340	3995515	184610	1906635	2889500	191618	2127580	322658	4413775	2103647	4392569	1826303	4410298	3362951	320120	2465078	579112	313756	2807530	2545106	848099	4391048	4474055	119086	325792	196926	2599837	578788	118105	4428929	3778081	175487	193528	2085032	559667	3929758	4142051	3765185	195508	4385318	4446754	184567	3515488	344683	4421200	3825890	4440109	368776	121902	4369816	187324	4399738	2640061	360646	3827315	2329112	366398	4428202	251843	192253	2824377	3929766	3992501	850329	312089	851316
