Taxonomy	MockHiSeq.even
Firmicute;Clostridia;Clostridiales;Clostridiaceae;Clostridium; nexile-related A2-232;Clostridium nexile-related A2-232	0.020833333
Firmicute;Clostridia;Clostridiales;Clostridiaceae;Clostridium; leptum;Clostridium leptum	0.020833333
Firmicute;Clostridia;Clostridiales;Clostridiaceae;Clostridium;saccharolyticum-related;Clostridium saccharolyticum-related	0.020833333
Firmicute;Clostridia;Clostridiales;Clostridiaceae;Clostridium;nexile;Clostridium nexile	0.020833333
Firmicute;Clostridia;Clostridiales;Clostridiaceae;Clostridium;asparagiforme;Clostridium asparagiforme	0.020833333
Firmicute;Clostridia;Clostridiales;Clostridiaceae;Clostridium;hathewayi;Clostridium hathewayi	0.020833333
Firmicute;Clostridia;Clostridiales;Clostridiaceae;Clostridium;sporogenes;Clostridium sporogenes	0.020833333
Firmicute;Clostridia;Clostridiales;Lachnospiraceae;Coprococcus;comes;Coprococcus comes	0.020833333
Firmicute;Clostridia;Clostridiales;Lachnospiraceae;Dorea;formicigenerans;Dorea formicigenerans	0.020833333
Firmicute;Clostridia;Clostridiales;Lachnospiraceae;Dorea;longicatena;Dorea longicatena	0.020833333
Firmicute;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;eligens;Eubacterium eligens	0.020833333
Firmicute;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;ventriosum;Eubacterium ventriosum	0.020833333
Firmicute;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium;biforme;Eubacterium biforme	0.020833333
Firmicute;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;prausnitzii M21/2;Faecalibacterium prausnitzii M21/2	0.020833333
Firmicute;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;intestinalis;Roseburia intestinalis	0.020833333
Firmicute;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;gnavus;Ruminococcus gnavus	0.020833333
Firmicute;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;lactaris;Ruminococcus lactaris	0.020833333
Firmicute;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;torques;Ruminococcus torques	0.020833333
Firmicute;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;infantarius;Streptococcus infantarius	0.020833333
Firmicute;Clostridia;Clostridiales;Ruminococcaceae;Subdoligranulum;variabile;Subdoligranulum variabile	0.020833333
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Edwardsiella;tarda;Edwardsiella tarda	0.020833333
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Enterobacter;cancerogenus;Enterobacter cancerogenus	0.020833333
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia;coli K12;Escherichia coli K12	0.020833333
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia;fergusonii;Escherichia fergusonii	0.020833333
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Proteus;penneri;Proteus penneri	0.020833333
Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Providencia;alcalifaciens;Providencia alcalifaciens	0.020833333
Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Akkermansia;muciniphila;Akkermansia muciniphila	0.020833333
