k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Mitsuokella; s__multacida	13811	470692	306124
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__breve	4199309	484303	133436	4396138	742595	82861	132714	28109	809682
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Ruminococcus; s__lactaris	348006
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptococcaceae; g__; s__	513053	309420	317862	792522	4382846	13873	4314524	1928537	155389	166934	57455	343558	4313544	4379111	142661	813052	40595	4337426	4354590	540731	1919145	340687	4337055	4349425	108149	319720	737686	249156	803207	3199885	906124	300694	825001	1855241	4388821	250113	110317	2235415	4401697	4301998	353812	4466335	4021516	4334440	253693	376397	4341564	4456459	3268451	1139839	3768971	263705	789229	806691	131994	185403	521192	748855	553152	540653	165741	4432675	262551	3310547	531495	4458037	3200224	66943	4360206	526485	4285600	4301946	3115847	2263186	843569	4399231	809455	254373	927352	241694	304522	4306060	4319019	821344	4420824	4405303	281469	4477544	19343	1147322	4060501	93438	4296451	4326559	4372752	142756	531730	1064183	3931054	173476	4312850	139691	4423591	542395	4401699	4312851	4326496
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Providencia; s__	1129328	662249	2201324	300729	101727	781971	194664	662160	752247	234148	4484364	697567	4448291	10214	10211	10212	3972451	365184	623524	629085	298880	673975	825989	550960	234473	804353	2654261	206430	4311115	4345333	4448255	4345464	4367102	1122622	592303	4377925	609704	4441147	4484466	692645	686902
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__coprophilus	2730944	522595	4443171	157905	514209	157712	514139	525360	522813	851885	158822	527577	518281	524522	526690	511560	531346	529842
k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__adolescentis	308034	359098	193082	198691	4432638	368477	557948	235262	469850	338124	584375	358189	805132	370225	538514	71274	4347159	359448	579407	810722	369770	36261	588954	330343	322549	309215	149324	554085	50025
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__torques	4127464	585983	360703	175474	3036640	590251	120639	2506490	2266622	188401	1793626	2467145	1764173	369005	361222	175117	3366133	216096	4417947	367327	3989845	263523	2836658	4153080	362461	4396136	122429	364792	3731030	588205	4369432	4458587	551202	547807	4250403	583398	2682598	358945	4399744	851757	564762	4361723	4340036	2305624	1721299	2027365	4481629	4351523	1867213	1867217	148987	542986	3084281	4345255	4225003	370361	4364464	361540	550701	4342102	4440441	845454	4381338	4390966	367266
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Holdemania; s__	198937	15728	367215	198914	4429034
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Clostridium; s__hathewayi	205916	106574	2250345	1707496	90431
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Subdoligranulum; s__variabile	471106
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Proteus; s__	4382366	166692	4316741	614890	204864	4099196	4339194	4339195	4339197	4339193	4212180	4347655	10205	288234	1134136	4480511	4480512	892778	470879	837228	4321292	4368724	768553	76558	1746913	3610692	4099203	4099201	156753	685373	4360360	814112	4399787	4427273	3610691	3610694	3610695	4385479	4385472	4385473	3440955	3021149	560629	4379477	4338907	4480565	3610686	3610688	3195991	75554	4440497	202829	1127578	4402484
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__eggerthii	196781	4418224	192111	316761	344525	2865887	322715	4414420	333904	312770	839512	308116	185242	185730	314355	328028	198042	3078863	347453	304076
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Anaerotruncus; s__	311961	367814	2748888	4342104	2437975	1983368	315223	4482932
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__celatum	4315688	16230
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Butyrivibrio; s__crossotus	734955
k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella; s__	352607	1147903	302647	4318139	180467	4345173	187490	414949	193436	572680	289308	147071	1132453	290572	287705	365212	187312	301826	415315	290985	300347	303693	299855	189997	344601
k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Catenibacterium; s__mitsuokai	690063	21138	40839
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; s__	4379957	195512	368130	4462422	171279	2485146	2668943	2833741	186624	3304796	4452187	191110	181864	178766	3203524	3988724	4344637	197951	186804	3926480	4407390	187256	2096657	2096654	345542	2203169	1912415	197079	3484497	198597	187265	178192	4381508	198542	195780	2100246	4444307	4360061	365634	2704258	1751298	4396888	532028	3964308	4407389	4407388	189636	4415655	193454	4344860	4344863	4406161	313593	3484503	188357	2082366	177055	193887	3149040	3889296	3021226	368905	4383927	4422039	3318103	2724174	2724172	4336728	4428949	2333876	2951405	4415649	171399	4366911	4363554	149772	4072219	4072210	2250985	4375442	2123719	2200895	197207	327730	518613	1740283	178161	177830	4070772	4365300	178751	369089	28914	4444254	4394977	183303	180654	701221	4428953	3014077	1603894	4469206	188696	4365291	300222	4373150	181189	185411	2704257	1520165	261698	276643	4418787	246544	4340103	317902	4327465	362255	3694834	4447343	3192831	183668	301462	4354425	4332082	4325630	181501	392887	176690	3393191	4041295	177241	2831841	4461756	175612	1636493	531436	187218	2467292	300235	4373152	2077386	215932	4371302	536831	4417530	4325030	177237	184034	328892	832036	210830	3874250	197077	1630016	176346	524533	254376	365492	4451292	176689	3438641	3259781	195493	850115	3668830	3668832	2438203	2432012	195207	4483379	4335815	1928156	271593	174262	367899	4357268	4080511	187633	195719	4159751	805192	234314	1742062	4424014	4333425	182560	320813	3425891	177135	3152469	4424016	179472	102506	4388170	50105	319197	195086	3865291	541602	525426	4462543	4361120	3228849	288961	3450449	4333431	4128373	213810	4438955	174998	359007	2918721	4429783	319595	4481427	3857415	187447	192577	198508	4095178	2176884	177515	210092	528362	308907	183198	347998	3272619	194053	3713805	362604	4396890	4414044	4087645	4470028	4428555	180192	4336731	191833	197767	1625580	2065795	2065799	197760	198494	198493	180372	2434189	3450456	3450454	3450455	4470708	4129357	4455153	177564	305046	4458653	182065	4389830	293221	178632	4429219	4365294	4414488	162623	2835371	353124	508968	1860111	525474	2497067	367958	180874	522134	4271061	4438194	3612544	510026	4375894	169255	2978043	3765805	2890864	199643	176975	4380813	4289139	274004	186471	4410740	191856	322114	4072220	175692	4370809
k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella; s__stercoris	296075	303310	294210	2990918	4454024	291811	329688	329414	290360	36306	23706	842580	288004	38784	361012	851788
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__plebeius	320291	307520	352114	4368216	364553	130228	360058	365496	344398	367320	351404	208018	4449055	348525	134286	340476	342862	215377	322339	210939	187751	323422	210155	349895	330760	307541	346823	350144	207185	308569	334335	352617	340378	306829	1145671	323325	211608	339646	310750	316500	207006	212729	187388	304077	322393	336834	338726	188706	362727	209336	308680	370105	318833	311950
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Eubacteriaceae; g__Anaerofustis; s__	4417416	336333	4330000	341963	67841	149723	168210	543902	553489	135454	851812	299493	291786	1727150	727945	4454394	4478244	527988	135410	148988	264374	145515
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__hiranonis	312133	300804	309107	4305463	294580	4322578	339236	328404	2462749	356403	180440	4070491	298980	347498	1122284	290581	340340	290314	351084	306781	29561	4405903	347235	301801	314749	300335	294099	294753	320308	345483	347131	326430	301773	324966	197510	300309	287479	339350	3235230	311402	582379	322366	302610	324590	340301	4379190	341829	4399833	345246	4414489	297934	296053	294263	295733	1960569	352473
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__	330908	531722	180141	744744	158711	240992	2298619	3144570	4465250	514547	311074	199103	4484301	696477	166631	3154070	28056	215995	2565939	2790042	179173	4029632	847129	2661876	4352777	4468234	157476	790826	531067	531068	4015273	4015270	1989046	4479191	4435373	195795	4207910	2599034	2025359	3141509	4378517	242482	4317999	4438263	1888517	190244	2331530	1689742	4418248	4442573	846147	182465	577377	3240369	176209	3997242	845565	4342992	3210703	3376640	4431892	216292	4445835	4477537	1997727	4455531	4455530	1132764	2395601	4356641	4390134	2570631	1727580	182255	4341517	850049	3886441	529771	4426266	1950496	846373	2855170	166630	360487	1945573	187224	577386	2554170	369511	4466029	4466021	2198356	186713	4258898	1590718	4394509	4321001	3588390	4405220	4405221	2626493	4192102	169813	1848355	2490934	562995	4437362	849365	1536922	2382810	3838136	193251	157533	2832613	1703191	4391359	3563235	4336073	4328515	191487	4385761	360671	837940	4475642	4401157	2851803	274012	158803	3779896	391447	1953130	3424536	323231	176230	4475215	1136497	188158	4467347	251403	1568690	359538	1713201	4303026	4389417	4389414	122269	319796	847647	4406197	562924	3787354	3971405	4392939	4060124	2065691	2599028	1948116	175479	4377691	4402775	2470908	184614	4385791	4385790	158914	364029	2243510	113854	4481463	262319	4374189	157590	356052	356051	4279796	681180	177360	522725	4433736	355291	3068439	4369395	4372511	3407052	4356883	3376632	2874602	1811208	4429450	2484617	4403154	3943182	186352	186358	4322986	4365196	345889	2978041	1139880	157725	369299	1992	4466513	539126	4438457	361962	4478515	844196	2818298	193983	3577135	334506	4339801	2506491	125630	2061739	2386791	351047	3385859	305799	2415144	1982	3082932	847092	2336149	4409855	4369269	1906483	1906480	195781	4379369	4479453	194667	4189999	3375913	4352311	342934	324057	324055	276484	1721636	1721631	3323110	2981705	319301	4352664	341112	4484228	4127459	583769	2039283	2896811	194670	840060	3715617	118847	530446	178148	3846588	574471	4319619	3997273	528621	1127889	1123250	2565097	1644205	4439466	203004	364179	1122802	3000662	1140092	326626	2550812	4392072	4340681	314328	349088	296470	4474933	4444235	841990	360518	512636	2489837	847242	4464343	1106281	1945566	1136438	369529	4304601	4347009	769961	850298	1950790	2724222	367021	158628	364595	540982	2730951	4408336	4392243	188804	348670	354982	211706	1051159	338226	2147898	2563561	4386613	192070	349809	4391343	846535	179412	2099573	4368573	4421070	4414834	2069039	71812	1919007	351894	2875735	157082	2915098	2045	4344432	244304	192684	3741904	4429177	1661612	359526	158863	4386761	1703712	1703713	359757	1566189	4389392	4360193	3650222	4429246	572010	2612863	2833744	2281513	4411236	4369878	158393	4357876	4330581	4272979	4354229	4442395	332588	338754	103730	4401756	4409167	1076390	199190	315429	4367865	556126	4360128	4433947	780970	841517	4479226	2039020	4357204	4449054	3325758	4348111	199161	3620088	4345854	4345850	3700047	4011576	4438116	367032	310247	2843529	4450176	333981	335123	2990919	2039026	840458	4357293	4358723	3893450	4347840	184174	157454	2731087	302276	4377048	2431504	3141094	176660	2414122	3434443	3352103	190940	1134151	4478614	195673	198185	4442458	4333864	2682128	125133	4381426	4381422	974106	191439	1139490	3638321	175057	166770	358392	4441558	4364934	4480948	3585337	2375352	182854	4481830	4295859	527929	178810	4463892	4481937	2066851	158762	292260	466305	2137001	4233828	4424059	2550809	514964	841437	537247	4384613	4330695	532402	4301298	2382483	182332	4386148	3326649	3104854	352040	3797930	4462964	4452376	3067225	4440867	358045	2124141	320631	3486634	1943239	174978	195258	4473972	366744	340474	4030375	128952	4414381	4414380	524442	3252209	521335	4427369	2415334	242259	332078	4325295	4023993	3922559	4340644	3280779	4376613	577170	4481490	157053	184526	4298163	1856991	4368482	586379	4183251	180134	2110060	4483176	4346452	4467447	4430277	848606	4196859	158906	4177702	3880629	3596068	846484	2877951	2390763	3175689	212282	3341724	3017350	3949313	3949315	239358	4380609	4358951	850688	183496	4459397	189422	140580	185420	4413325	197052	4454592	205290	184631	3405391	177066	363478	2822200	4087405	357757	2087278	158839	340247	1895791	3017759	4371363	517394	521704	339013	4401742	2126655	1702721	1508541	183012	185316	3180123	1528276	353358	271259	1124111	3718216	4272981	176034	4232045	4232046	3671383	3671385	157275	3709597	4467985	4467984	1770806	4431514	4346677	4451152	4484376	845466	188392	1969268	1969269	4341289	4115752	367819	2490117	174388	1626804	2858770	198449	513257	3690024	4302904	314679	4358287	187178	187179	182866	249047	3783302	4442680	1133917	4359056	1135531	327163	4407907	4374465	338558	3271060	2888732	4352648	4064411	180834	2040980	191564	2297490	4356764	4356763	1896517	3211875	2204474	4341250	168750	4424584	3713346	136529	4464178	3562626	619685	2650642	4439360	3649784	4366648	4464079	368444	3262250	715917	1931240	839679	813545	354850	4347110	4444531	358751	2821470	3640247	1542014	3445579	4405223	3262680	4356150	82138	1585962	4312024	357303	514974	4435938	1784461	4426179	4481936	189675	3991007	3897457	3890155	301578	2904922	4102271	4415263	4328930	3702911	1643422	4423460	4452365	1121729	518360	1877831	784927	3208505	314729	204891	843084	4324964	842929	172060	4346307	2229777	339552	516904	4365234	4365237	4393436	4427351	571458	3294742	180045	3922562	2016026	4371936	360620	369324	4376609	4475615	840878	2056153	3728599	512866	4477132	4353745	4346427	4381913	3039082	3700722	584695	4414480	4193311	1531298	710208	4462601	4462603	4429340	365084	4353311	3320957	4466999	4365711	2035870	3532415	4020502	4380612	4380611	183480	4407176	3963289	1535329	3568266	4429694	3376271	3904930	4420834	4471938	3216091	1135084	158823	158820	521417	547506	140278	178253	4357203	4477455	4477452	3745575	4308977	4450021	4450023	1634981	2246681	179003	164114	530304	524318	157327	361144	188073	1809696	4418786	4378456	3579918	175594	3186758	183458	4341476	328063	197214	2548283	1624030	3211145	1773002	522988	1682176	2794237	4394952	4408891	299983	2885973	2155329	356687	840143	4436047	191745	2921213	183662	4443664	4435272	206233	4465470	176338	1142687	182874	1773778	3997688	362592	190638	4342704	3459842	1905494	2882517	331193	840989	3465320	4335035	4476454	4341249	176564	331562	160178	357925	3713350	184209	3634147	4434294	300754	2442708	4327926	4412463	4447803	1799848	205904	523784	4315980	4483579	3882796	3640259	523065	121687	2864278	4300508	4445783	2933969	2097828	4191063	3929423	520712	314315	4335148	3277423	4424408	349929	4379363	4379364	291800	3082726	2834502	1796024	3262406	177222	2754869	197991	2237211	1713209	4412168	842173	339543	526759	125270	4389419	4389562	316132	178307	1698008	367489	174710	4354042	4354041	509975	2505700	186841	4425043	540480	3195932	197723	4457871	188254	4483572	4452978	3439273	558916	158967	2821447	4343628	4473572	4332624	4458547	4414383	175362	2450505	2244927	169775	3532422	2311075	4324038	4345458	4435396	4342105	184753	4394313	2281520	159668	1576661	4327700	3863465	297057	4456957	4418330	4418331	4358527	190445	3237154	4405100	4338761	2961015	356827	1145142	4401041	2733445	4382823	4378688	3745566	139820	175617	4330165	588308	520251	3725458	2044969	3179908	4458592	4473849	1133471	2772565	1531295	3562991	245195	3241783	192972	3489863	327050	4446898	3624877	4130732	4382918	190309	351162	2570405	233301	529678	356730	4478397	851428	4142050	4341633	4226929	1813954	4020495	4397978	2548003	4402959	2487129	293537	157874	4442299	368270	196080	4332761	3941605	4366087	172777	3386977	214400	4354915	191544	4403974	3456576	332317	4347639	346127	3491069	2896109	3377447	185160	180948	4327160	2025	4478367	4417335	2992223	3174941	4380759	1914034	3483791	4426236	728991	564185	4484034	583117	4379544	4480524	2212948	582581	3813913	4476250	364903	3736961	4401444	4393745	3845863	4420758	841958	530048	2875740	4424431	2034070	340819	515828	369449	304661	2227749	2820515	157396	1782947	111467	354721	196872	3707182	1563880	357177	724569	4480456	3731037	2159067	681357	1790218	523668	4389571	849393	238218	178478	4357459	4357454	2423016	539798	182157	2696706	2666834	211829	196369	345122	2102292	4422580	2563564	4365669	849150	848205	4441784	3465233	4335812	358493	4415152	194341	4417325	193591	2729110	328255	2759179	3785400	4462627	126800	3584703	1112402	4369436	4470518	3778080	4379928	194666	4391496	174141	841658	175485	2919484	271214	2951215	4347661	4397156	1849822	305946	4412982	3069005	350374	3574011	841108	4369327	2924873	849838	3198448	4466964	3399749	4370864	174036	4402195	187639	192828	533373	4377717	2917953	2735580	365182	1609162	4359717	4300079	197234	264838	2034974	578023	144340	4472010	4463715	2164698	2363722	521643	181239	3244943	4381553	1876120	840419	531169	550814	4336572	4438795	583656	360778	367416	3547902	312140	196769	331779	4478227	1136275	511386	4483421	336710	359243	4064422	360000	208972	4374682	538296	182569	4399495	315768	353782	161007	4483966	4390839	1935188	3244994	4442029	4442028	4442023	4322674	4455163	4366603	4289774	2658061	636160	4457270	4477861	4329111	313764	4434582	849273	849270	193201	2129582	192151	4013896	530773	2834988	185722	321811	185604	4468477	1585950	4390297	228601	4367065	4367064	4478978	3959839	3503718	850222	334393	4373802	2624257	844952	3600504	1129060	4481719	4350866	304113	2021338	842917	4440719	102620	3838014	181719	1132044	4356331	4421328	290358	3110064	353568	25165	3294736	509999	3335290	186866	531412	1146234	843785	4115287	4357811	1561502	849145	848236	2505255	3465225	2391127	4029591	521927	4411310	4415121	325503	3164394	336441	4430238	2805825	840259	3584697	851355	4409109	2949328	4328422	525518	4343580	4338598	523588	3672963	189384	4393599	2768843	1124280	4418707	1549268	4402657	4357493	157203	1135130	188735	2805803	1869508	4434264	3842960	3439402	3439403	45921	4358549	1768063	345455	4372976	1841476	509445	560336	330476	851221	2189140	3256931	581981	688067	355277	850430	4335293	270094	2650941	178381	4453269	268332	188027	197367	158667	4350569	4270353	515349	2856225	127309	158210	158215	1744260	119790	3834453	1811852	4469439	4469438	1143263	313166	239872	844525	519528	4440391	520107	841221	214745	4278525	159696	198408	185292	762358	196778	2270563	3367658	206555	179598	157854	3422642	3422644	4333430	1130302	176794	4452590	2054254	1109422	4148085	213813	2308465	208949	4008675	186129	4324039	1143805	2852421	1812046	4336344	2614262	3822364	102407	191483	181532	3210672	233549	2973831	2920309	211808	174999	4440963	188873	4451274	4394243	4267525	4392484	524325	319621	4439938	509662	2050168	366151	4357712	258695	3903646	2277614	2277615	364926	1657655	3693039	760350	185732	1126638	3472078	4435784	4401110	367377	1678435	841977	4477301	2126371	2723923	4481339	2239253	3237064	3820950	848315	1666677	4408757	196551	3134119	174868	188113	846859	3881514	4346374	2150069	510404	2836609	4361727	513924	139815	4343741	1980146	523919	4429788	528601	4435884	844433	183579	3335289	314174	4323520	4326094	2281512	1754736	1799081	160970	842180	198711	2497073	158850	3679284	185955	3806696	189920	367983	4461305	306369	4329090	204027	2388617	343857	589032	239283	4375027	4381859	213566	4402339	4102274	1507591	2141197	4420408	4395031	860850	361882	2699612	310440	4012187	4398609	4369811	118532	198792	2128900	195164	4371092	581814	359717	359716	312234	2712074	2223970	4402563	261878	171559	2447856	190815	4416614	4382825	4368076	1890332	46476	320395	206345	539965	3709548	2141314	2141310	3272632	174194	1109668	4320759	199627	336012	190277	1630011	193534	4462349	3367995	4334711	4348122	4346368	4450198	4431297	346811	2858256	176232	4481864	342395	4457770	1641741	4240137	1631589	186676	2794170	526875	205836	2029646	4421790	199716	326662	3931705	3931708	4483963	1678441	516733	2471070	2305580	2588266	4424106	337828	352825	366374	845692	1107945	4344647	2022793	842635	187841	4431313	2463962	842772	2452032	158660	561609	4174963	2100257	362608	193104	843939	164088	2719760	2063464	361495	2134452	1666671	182052	192839	4225868	2929880	4480798	4411385	4414521	848362	3205735	2887211	3880558	177382	561895	592847	3700249	1139316	2583125	4483061	146171	564649	336559	2060340	4373034	180421	4476333	367729	4476969	4401580	185476	2066949	4360055	4318001	4382161	4366845	4366843	4365577	3148447	3173413	183540	72466	185537	326939	4428185	4428188	3691536	4202439	3345627	849162	4340358	4437814	246494	574176	2128805	198981	296045	234488	4409975	840277	190568	4472262	4471553	164178	3826175	90487	513077	3887769	4447950	3577384	187477	4012190	3162102	840832	732765	186265	343352	4479225	176410	580629	4479637	843775	3196066	195157	3059643	3744608	3744605	189090	4345819	208662	3258648	547452	348233	4365726	2962862	530259	185646	3989856	521769	3979914	172994	2155318	1977	4377080	2771931	531005	4335714	1107758	4471182	198519	514793	4323712	3275934	2563777	1932901	2308592	1589978	3940440	4399737	357582	2066374	4460261	4460260	3009848	1891997	4438244	4370603	348304	2740953	2740955	3758679	4318470	311167	191479	4447072	335984	3127555	1740498	4464344	4444493	4364974	196653	1935192	4384516	1898102	183619	3943185	246004	157970	4153961	2429995	3086325	839765	3582606	192255	195700	2892294	3408598	256830	4371640	158449	844375	542987	1983349	4357130	192359	534976	4398027	4331736	178064	4464324	1107105	1749079	207225	633737	197537	4422042	745245	4073856	1931423	1931420	527994	3583645	158651	526080	3181285	2899810	4431217	4330070	4365242	2796284	193233	4403622	2951403	117525	530729	4281674	3745958	3745954	3925380	157921	2439767	4465474	2905063	4332429	158137	174845	340547	4375094	4470861	849412	2366610	192055	221758	250639	188887	4235585	1133147	4322843	174646	291711	4414481	364291	182117	175535	2390935	2349690	260410	4434404	4474505	4407515	2322923	2885974	2148362	295797	183292	2894865	360964	190508	193859	209685	4466786	177343	849520	2616338	845375	2237866	4457872	2299566	1105984	4481076	176071	4412006	4412008	174109	2465036	157748	166787	158908	177150	1797754	3940414	4334759	3394077	566840	4350118	4350114	185888	3304236	2762215	4462436	2490153	2130162	528234	4094258	529548	3426658	4360200	576502	161423	4378081	360258	2028501	212164	2656868	4372818	2987636	158581	192865	194909	345637	2859978	168340	3662804	71331	316782	362007	52362	351292	1709875	2134169	4371060	519575	3299921	4347608	841259	1898099	2865835	4380240	983661	175749	4395426	4172237	4454470	4332119	4425495	4332676	86468	3989538	2224336	3408589	4406925	4248506	4410509	3667183	4451663	845661	4476578	4366391	3795375	4328098	841290	363887	4453790	352034	519349	572727	3443256	4407253	528568	513445	114500	194070	4466030	2038446	4412487	3410999	174945	4367058	2532213	586917	2530633	850870	4353269	522355	4376847	4376845	410336	4481628	3838128	2063400	4458701	179431	4368554	3182235	4470365	4376649	4354332	4371834	2108795	2239269	1562928	1953126	1953124	368747	4320478	849587	160830	3745352	126376	4410085	589277	1914031	310685	4426441	524661	142859	3594388	4372612	4357205	4403708	157298	332732	2533443	175460	369255	4395774	1944498	4474531	197742	4338796	2131401	4423527	4396432	4468802	294639	3680332	4464937	142871	4371359	4315097	177591	4379411	183817	198788	190913	3361687	1553596
